time_s,vehicle_heading_deg,raw_mag_heading_deg,tilt_mag_heading_deg,aligned_mag_heading_deg,heading_error_deg,mag_norm_uT,gravity_norm
5004.11,-45.142900000000736,-73.96665012066663,-73.9686918953981,-113.90887495604784,-68.7659749560471,37.95516960836824,9.806500768877754
5004.21,-45.1378999999979,-74.77786677373157,-74.75832930279202,-114.69851236344175,-69.56061236344385,38.48132664033297,9.806647741710721
5004.31,-45.184599999999364,-74.43698099273918,-74.44313785012729,-114.38332091077703,-69.19872091077767,37.418474046919656,9.806507705090533
5004.41,-45.21639999999866,-73.01202218837044,-73.02253026721661,-112.96271332786634,-67.74631332786768,37.7515006324252,9.806646543033963
5004.51,-45.290700000000015,-71.99772973091106,-72.04626950826183,-111.98645256891157,-66.69575256891156,36.255971921877915,9.80662176338009
5004.61,-45.29769999998871,-72.61423462166285,-72.62901135236613,-112.56919441301588,-67.27149441302717,37.05216997693927,9.806617914959265
5004.711,-45.48414999999363,-74.48430359241335,-74.55782376687588,-114.49800682752561,-69.01385682753198,36.938826456724364,9.806535324466028
5004.81,-45.62940000000026,-72.69801004913013,-72.73013970586757,-112.6703227665173,-67.04092276651704,37.24989798643749,9.806541156799375
5004.91,-45.62419999999861,-72.22737268206377,-72.31060187950771,-112.25078494015744,-66.62658494015884,37.9558915057992,9.806610952311711
5005.01,-45.71309999999971,-72.27128079574099,-72.26383478836775,-112.20401784901748,-66.49091784901776,37.43824515118197,9.80663972928546
5005.11,-45.79989999998065,-74.14113760826507,-74.19123434804315,-114.1314174086929,-68.33151740871224,37.759457093554715,9.806580277548337
5005.21,-46.076900000004116,-72.22593147929666,-72.19119100873071,-112.13137406938046,-66.05447406937634,36.1213911692227,9.80657793983202
5005.31,-45.99409999999807,-73.9377182735551,-73.96337976948855,-113.9035628301383,-67.90946283014023,36.753831092826225,9.80664715435403
5005.41,-46.088699999996834,-74.2551616495936,-74.2282202765745,-114.16840333722425,-68.07970333722741,36.11135417012217,9.806548548291595
5005.51,-46.28669999999988,-74.00992488905528,-74.0393931870043,-113.97957624765402,-67.69287624765414,37.46509442134105,9.806565814289934
5005.61,-46.32659999999055,-74.98349164701196,-74.93199444391298,-114.87217750456273,-68.54557750457218,36.87581592317653,9.806584041856777
5005.71,-46.47529999999665,-74.62941565317035,-74.66015379675387,-114.60033685740362,-68.12503685740697,37.007041221908025,9.806654773672825
5005.81,-46.556799999998475,-75.3441819262867,-75.26536096577196,-115.2055440264217,-68.64874402642323,36.85028900836464,9.806575219718656
5005.91,-46.627599999998665,-75.71541228685716,-75.785230170509,-115.72541323115874,-69.09781323116007,35.04256839902007,9.806577813386278
5006.01,-46.71609999999987,-74.32183375836053,-74.29868839218092,-114.23887145283067,-67.5227714528308,36.057773087089004,9.806538147073104
5006.111,-46.753699999990204,-74.01705048407759,-74.09368835208261,-114.03387141273234,-67.28017141274213,35.89422655525537,9.806594788202478
5006.21,-46.916999999994914,-74.50934137339499,-74.48881792761152,-114.42900098826127,-67.51200098826635,34.26157906460237,9.806539210649188
5006.31,-47.02979999999866,-75.50124171196967,-75.50740247082292,-115.44758553147267,-68.41778553147401,34.41324309041506,9.806602301510956
5006.41,-47.089099999997416,-74.48284237451173,-74.45894735249207,-114.39913041314182,-67.3100304131444,35.721522923862025,9.806633063901188
5006.51,-47.234899999999925,-74.17641087599934,-74.09432535898387,-114.0345084196336,-66.79960841963367,35.76104304966509,9.806596492667577
5006.609,-47.25847999999087,-75.16709640363273,-75.14827096621147,-115.0884540268612,-67.82997402687033,33.403104646125335,9.806582123247631
5006.709,-47.417969999998604,-74.67451500807896,-74.59488598169601,-114.53506904234575,-67.11709904234715,34.7898088525936,9.806605564108306
5006.81,-47.45509999999831,-74.41517413048702,-74.3924070298848,-114.33259009053452,-66.87749009053621,35.875579437829295,9.806652481351625
5006.91,-47.535099999997556,-74.40396427857993,-74.36234776324686,-114.3025308238966,-66.76743082389905,36.296608657008164,9.806598567291312
5007.009,-47.68179999999984,-75.08346042582333,-75.10076350730668,-115.04094656795641,-67.35914656795657,35.163151167095364,9.806632264442264
5007.11,-47.705499999996846,-73.84309208803334,-73.80386874699686,-113.7440518076466,-66.03855180764975,36.09592497775892,9.806610846770662
5007.209,-47.765439999994896,-72.48323884766421,-72.52215091078735,-112.46233397143709,-64.6968939714422,36.41316520161355,9.806592701851137
5007.31,-47.89959999999314,-73.98031322074071,-73.95241247954091,-113.89259554019065,-65.99299554019751,36.42720961039975,9.806600529235398
5007.41,-48.13830000000257,-73.45323918381892,-73.47926216616244,-113.41944522681217,-65.2811452268096,36.39925960785466,9.80654811337812
5007.51,-48.005899999998746,-72.67017200114861,-72.66451313003596,-112.6046961906857,-64.59879619068695,37.10053503657326,9.80663400204168
5007.61,-48.296100000019806,-72.17789682616034,-72.17020502856124,-112.11038808921097,-63.814288089191166,36.86658242907796,9.806640332448213
5007.71,-48.02509999998961,-73.73310810923556,-73.76360540191963,-113.70378846256938,-65.67868846257977,38.20400240812473,9.806569474082156
5007.81,-48.268599999995786,-73.9141836706792,-73.89792363954136,-113.8381067001911,-65.56950670019532,38.43099790533678,9.806623507099678
5007.91,-48.404600000003484,-72.5197284274251,-72.55427138671155,-112.49445444736128,-64.0898544473578,37.150257065059456,9.806517747906236
5008.01,-48.231199999999035,-71.44790202116624,-71.49142781055069,-111.43161087120043,-63.2004108712014,37.56161205273277,9.80663298691248
5008.109,-48.47573000000557,-73.17585812939106,-73.24240530157367,-113.18258836222341,-64.70685836221784,37.846703951599274,9.806573087985425
5008.209,-48.395769999993036,-72.31269699345448,-72.32415615804098,-112.26433921869071,-63.86856921869767,38.35143022104912,9.806635637159157
5008.31,-48.53909999999905,-72.19785903377726,-72.21162715055205,-112.15181021120179,-63.61271021120274,37.52413223513636,9.806639496280058
5008.41,-48.5785999999996,-71.88951877833561,-71.85341745180654,-111.79360051245627,-63.21500051245667,37.67604145873078,9.80653795434454
5008.509,-48.60128000000009,-71.22137881495378,-71.15254599252272,-111.09272905317246,-62.491449053172374,37.19250462122711,9.80656442491457
5008.61,-48.61369999998806,-73.03880559550535,-72.98846527670499,-112.92864833735473,-64.31494833736667,37.93041787273111,9.806564636507526
5008.71,-48.782100000003766,-72.45767580247013,-72.37799046468423,-112.31817352533398,-63.53607352533021,38.05347421721176,9.806596376419291
5008.81,-48.71559999999681,-72.72017197141598,-72.70861063979743,-112.64879370044716,-63.933193700450346,36.66972320593653,9.806629826805946
5008.909,-48.86049999999568,-71.7865414020505,-71.76985028141998,-111.71003334206972,-62.84953334207404,36.27352478047867,9.806509067960933
5009.01,-49.06840000000079,-71.97724391848031,-71.96205097517189,-111.90223403582164,-62.83383403582084,35.536212516248824,9.806621349374105
5009.11,-48.89589999999771,-72.41682633363038,-72.45459436314006,-112.3947774237898,-63.498877423792095,37.947441283965375,9.806634157038795
5009.21,-48.936199999997825,-71.56025132959714,-71.54647764393901,-111.48666070458876,-62.55046070459093,38.015387673940666,9.806510719414934
5009.31,-49.00539999999478,-71.98263767049049,-72.0433026616316,-111.98348572228133,-62.97808572228655,38.54159700894606,9.806623509139117
5009.41,-49.20580000000018,-74.04626804566591,-74.05994913664085,-114.00013219729058,-64.7943321972904,38.10202225604305,9.806547699369029
5009.511,-49.183230000000094,-72.95096902789018,-72.98353396186727,-112.923717022517,-63.7404870225169,37.06662514985685,9.806497487380497
5009.609,-49.104469999990215,-73.20635683253016,-73.20146888076155,-113.14165194141128,-64.03718194142107,37.477952185251524,9.806602719086769
5009.71,-49.289999999992006,-72.71988528341537,-72.72933430672926,-112.669517367379,-63.379517367386995,35.44871788936802,9.806602349947712
5009.81,-49.44870000000287,-73.5598677711893,-73.54284209526327,-113.483025155913,-64.03432515591012,36.88037689612187,9.806506987709742
5009.91,-49.369599999995444,-73.52879301636906,-73.51014664573911,-113.45032970638886,-64.08072970639341,37.16709969852369,9.80663010416932
5010.01,-49.649200000000064,-73.26400414852392,-73.22482181166593,-113.16500487231568,-63.51580487231561,37.680756361835414,9.806653550013888
5010.11,-49.63339999998357,-74.81416273779868,-74.76223940802292,-114.70242246867267,-65.0690224686891,36.6012786661887,9.806567932768324
5010.21,-49.873800000002575,-74.48525982812679,-74.4608455644114,-114.40102862506114,-64.52722862505857,36.28199277878766,9.80656522386916
5010.31,-49.82299999999873,-73.93557329683837,-73.92634881942352,-113.86653188007327,-64.04353188007454,36.02674839615699,9.80664644259188
5010.41,-49.886399999997366,-75.09893712678024,-75.09478636952633,-115.03496943017606,-65.1485694301787,36.56223324689016,9.806511997137411
5010.51,-50.05629999999974,-74.67213402837378,-74.70585216431836,-114.6460352249681,-64.58973522496836,34.76257470326386,9.806666676297302
5010.611,-50.121289999986175,-73.8477117823319,-73.8552242198977,-113.79540728054744,-63.67411728056126,34.846798992159954,9.806638260382606
5010.71,-50.32730000000288,-74.73500782133549,-74.77640601217882,-114.71658907282855,-64.38928907282568,36.01171753749048,9.806660733909377
5010.81,-50.27949999999714,-73.61045966596522,-73.61345383712231,-113.55363689777204,-63.274136897774895,35.65076296518772,9.806530851427532
5010.91,-50.40369999999825,-73.8518451193165,-73.8773017101787,-113.81748477082843,-63.413784770830176,34.46069790355384,9.80657464459431
