episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
4,28,148.8781,127.86209,344.63504,-181.68326,366.25003
4,29,153.51274,134.73897,357.14746,-189.0755,382.52176
4,30,158.61679,142.0658,369.98083,-195.41394,398.20514
4,31,164.08614,149.64471,382.65918,-201.39166,413.52234
4,32,169.43176,157.31018,395.25098,-206.67632,428.34625
4,33,174.29152,164.56569,407.428,-212.2655,443.1189
4,34,178.67815,171.31732,419.38956,-217.5378,457.3295
4,35,183.0519,178.21507,430.88336,-222.2235,470.9262
4,36,186.50577,185.53088,442.03833,-227.0509,485.3047
4,37,188.84123,193.90459,452.8437,-231.94647,501.04535
4,38,190.97614,202.75586,463.8229,-236.73387,517.2974
4,39,194.94345,211.32657,474.91315,-241.65776,532.52026
4,40,202.10216,217.96219,486.19928,-245.32516,543.45776
4,41,211.43738,221.42786,496.91742,-250.06319,551.183
4,42,220.57574,220.61243,506.90546,-254.49623,554.7188
4,43,227.54451,216.32568,515.9743,-258.75995,555.7861
4,44,231.41237,210.04814,523.89844,-262.79556,555.99396
4,45,231.75757,203.36269,531.1014,-266.83194,557.3955
4,46,228.8669,197.75948,538.5981,-271.20078,562.0117
4,47,223.63695,194.40735,546.6132,-276.23898,570.80786
4,48,217.47525,194.09622,555.1674,-282.01978,583.71436
4,49,212.22736,196.85797,564.22375,-288.901,599.88605
4,50,208.87161,201.6774,573.7922,-296.48267,617.5196
4,51,207.81458,207.3868,583.71796,-304.99576,635.48346
4,52,209.58412,212.85968,593.5717,-313.50217,651.5391
4,53,213.54398,216.90736,603.43146,-321.79153,664.9878
4,54,218.95152,218.99716,612.75146,-330.3194,675.88983
4,55,224.81396,218.37196,621.6222,-339.7016,684.76483
4,56,229.76314,215.06796,630.11316,-349.10345,691.7872
4,57,232.67119,209.9378,637.95605,-358.91907,698.46545
4,58,232.72476,204.13675,645.24866,-369.58783,706.637
4,59,229.96318,199.20866,651.85284,-380.3065,716.8184
4,60,225.06346,196.32465,657.507,-392.03427,730.1874
5,1,10.210348,-4.9412756,11.391719,-5.346187,1.2488354
5,2,20.505623,-9.626177,23.983524,-10.630837,3.6201024
5,3,30.87017,-14.080938,36.160564,-16.220018,5.7064815
5,4,41.31848,-18.39189,48.12209,-21.49231,7.476743
5,5,52.005085,-22.662556,59.6159,-26.178019,8.383493
5,6,63.33565,-25.630255,70.770874,-31.005417,9.174688
5,7,75.664635,-26.706465,81.57623,-35.900997,10.9309845
5,8,88.47615,-27.370108,92.55545,-40.68838,13.929002
5,9,101.290184,-30.622974,103.6457,-45.61227,15.173247
5,10,112.199875,-38.71824,114.931816,-49.279682,10.90906
5,11,119.3265,-50.596516,125.64997,-54.017708,7.1896343
5,12,120.58784,-63.70507,135.638,-58.45075,15.940994
5,13,116.19571,-75.1458,144.70686,-62.71447,31.103437
5,14,107.67359,-82.88246,152.631,-66.75009,47.76423
5,15,97.09182,-85.4329,159.83392,-70.78647,64.42895
5,16,86.993324,-82.40443,167.33061,-75.155304,80.66368
5,17,79.82049,-74.780304,175.34575,-80.1935,95.67851
5,18,77.38897,-64.64126,183.89995,-85.9743,108.626366
5,19,80.39477,-54.9075,192.95633,-92.855515,118.78619
5,20,87.501816,-47.689285,202.52472,-100.43719,126.54094
5,21,96.89225,-44.068783,212.45052,-108.95028,132.52669
5,22,106.823044,-45.344887,222.30429,-117.456696,136.1471
5,23,115.07274,-50.862637,232.16399,-125.746056,138.9888
5,24,120.363,-59.420033,241.48402,-134.27393,142.38472
5,25,121.16149,-69.54791,250.35472,-143.65611,148.93932
5,26,117.1488,-78.94131,258.8457,-153.05797,159.91026
5,27,109.38135,-85.491875,266.68857,-162.8736,175.30971
5,28,99.5054,-87.4338,273.9812,-173.54234,194.56743
5,29,90.113815,-84.26039,280.58536,-184.261,215.12679
5,30,83.57599,-76.759735,286.2396,-195.98877,235.13422
5,31,81.55248,-67.028564,291.5152,-208.09212,252.94914
